codigo_estacion,latitud,longitud,altura,zona_geografica,zona_koppen,temp_media,precip_anual,aridez,frecuencia_lluvia,macrozona,clima_koppen,cluster
170001,-17.595,-69.4775,4084.0,Cordillera,BSk,7.079927026715646,410.39188182396117,24.02773039849906,0.40784671532846717,Norte Grande,Estepa fria (semiarido),5
180005,-18.35555,-70.34028,51.0,Litoral,BWh,19.07420590203276,1.6790799648263304,0.05775153311096746,0.009857612267250822,Norte Grande,Desierto calido,1
180017,-18.2,-69.5625,3532.0,PreCordillera,BWk,9.730230014530488,149.99781000896112,7.602435952266853,0.13526834611171962,Norte Grande,Desierto frio,4
180018,-18.49111,-70.30139,71.0,Litoral,BWh,18.873110623897624,0.8395399831578152,0.029076880357426636,0.004381161007667032,Norte Grande,Desierto calido,1
180042,-18.5125,-70.26556,122.0,Litoral,BWh,19.849835742081375,53.27081130858335,1.7846266146611924,0.09419496166484119,Norte Grande,Desierto calido,1
190010,-19.27694,-68.63972,3700.0,Cordillera,BWk,10.09069352872996,211.8065713156681,10.542521641315263,0.37135036496350365,Norte Grande,Desierto frio,4
200006,-20.54917,-70.18111,48.0,Litoral,BWk,18.795180722891565,0.0,0.0,0.0,Norte Grande,Desierto frio,1
200010,-20.27083,-70.13083,30.0,Litoral,BWh,18.113800789414203,156.77409872165825,5.576410670900429,0.2710843373493976,Norte Grande,Desierto calido,1
220002,-22.49806,-68.8925,2326.0,PreCordillera,BWk,14.357283674743586,4.317634213564822,0.17726254993046858,0.007119386637458927,Norte Grande,Desierto frio,1
230002,-23.68083,-70.41111,31.0,Litoral,BWk,17.340285420548643,15.4453898595828,0.5649315514451149,0.02854006586169045,Norte Grande,Desierto frio,1
230004,-23.18611,-68.00556,2495.0,Cordillera,BWk,16.62507416163607,102.2347010842752,3.8397902842871567,0.1657754010695187,Norte Grande,Desierto frio,1
230022,-23.10917,-70.44333,31.0,Litoral,BWh,17.99452357798782,2.6385542576742917,0.09425251515082025,0.00547645125958379,Norte Grande,Desierto calido,1
250005,-25.41111,-70.48417,37.0,Litoral,BWk,16.446440402153158,127.13034141500687,4.807087059045438,0.2289156626506024,Norte Grande,Desierto frio,1
260010,-26.31305,-69.75139,1597.0,Valle,BWk,17.610310381346377,126.9174288042284,4.596740386155682,0.20802919708029197,Norte Chico,Desierto frio,1
270008,-27.25444,-70.78111,204.0,Secano Costero,BWk,14.79808320926027,16.33105147476966,0.6585610402610153,0.06407447973713033,Norte Chico,Desierto frio,1
270009,-27.35889,-70.35333,362.0,Valle,BWh,16.42710840689,41.177437436325235,1.558151455782789,0.07174151150054764,Norte Chico,Desierto calido,1
280010,-28.51694,-71.01,156.0,Valle,BWk,14.333600604499395,155.68367588836102,6.3978890102919825,0.27988338192419826,Norte Chico,Desierto frio,6
290004,-29.91444,-71.20667,146.0,Secano Costero,BWk,14.059583789286451,58.368017523154734,2.425977857071059,0.05093099671412924,Norte Chico,Desierto frio,1
300024,-30.58,-71.18667,310.0,Valle,BWk,14.76221251487732,109.61993469184455,4.426903881306409,0.16319824753559695,Norte Chico,Desierto frio,1
300034,-30.16833,-70.80361,2154.0,PreCordillera,BSk,13.956849240828051,218.87500303052366,9.136218240982611,0.3780821917808219,Norte Chico,Estepa fria (semiarido),6
300046,-30.03361,-70.69722,642.0,Valle,BWh,16.171263741136908,52.98516520632656,2.024555089521437,0.056593406593406594,Norte Chico,Desierto calido,1
300047,-30.69833,-70.95778,406.0,Valle,BWh,16.432091993413383,121.81325364172426,4.608536232095398,0.07995618838992333,Norte Chico,Desierto calido,1
310023,-31.39,-71.41278,343.0,Secano Costero,BSk,13.84063371596832,143.72762626383854,6.028683128820129,0.15619788771539744,Norte Chico,Estepa fria (semiarido),6
310024,-31.18805,-70.99889,936.0,PreCordillera,BSk,18.21188381898573,229.2943611677618,8.127580654981067,0.26998904709748084,Norte Chico,Estepa fria (semiarido),3
310040,-31.6325,-71.15194,333.0,Valle,BSk,14.762727757174293,144.48840502517893,5.834914733225121,0.10988404196576478,Norte Chico,Estepa fria (semiarido),1
310044,-31.78722,-70.95944,516.0,Valle,BSk,16.2902371417867,289.40237434207035,11.007978847101505,0.26003649635036497,Norte Chico,Estepa fria (semiarido),3
320019,-32.75528,-70.70694,662.0,Valle,BSk,15.695272159681274,151.03655924743072,5.877990250845593,0.07916437603078615,Zona Central,Estepa fria (semiarido),1
320041,-32.94944,-71.47611,140.0,Litoral,Csb,13.782256296665489,372.8157199040333,15.676213192450787,0.10295728368017525,Zona Central,Mediterraneo de verano templado,0
320045,-32.88139,-70.91305,423.0,Valle,BSk,15.361993420163225,233.49206014082392,9.206376497014375,0.11226725082146768,Zona Central,Estepa fria (semiarido),3
320049,-32.2225,-70.83167,665.0,Valle,BSk,14.274785538821169,176.63579275770877,7.276513008744239,0.15608919382504288,Zona Central,Estepa fria (semiarido),6
320051,-32.84555,-70.11917,2955.0,Cordillera,ET,6.122891648461367,184.77875311576395,11.46064596504298,0.2858707557502738,Zona Central,Tundra (frio de altura/polar),4
320056,-32.78417,-71.52278,5.0,Litoral,Csb,13.148247545676842,195.99260614742192,8.466844229166083,0.1801752464403067,Zona Central,Mediterraneo de verano templado,6
320063,-32.56139,-71.29778,81.0,Valle,BSk,13.314403088173757,174.46440510953667,7.483116957775936,0.2552026286966046,Zona Central,Estepa fria (semiarido),6
320121,-32.57083,-70.70417,933.0,Valle,BSk,13.895348897873948,373.23871469295875,15.619722327057843,0.253077975376197,Zona Central,Estepa fria (semiarido),0
320122,-32.76917,-70.835,519.0,Valle,BSk,14.654103993391045,347.87346131513567,14.110164433815525,0.3119015047879617,Zona Central,Estepa fria (semiarido),3
330006,-33.045,-71.50194,50.0,Secano Costero,Csb,13.366538903146559,230.5536707858111,9.866830160061255,0.16812705366922234,Zona Central,Mediterraneo de verano templado,6
330007,-33.06528,-71.55639,335.0,Litoral,Csb,13.655421681367555,445.0961112183073,18.81581809082237,0.20372398685651696,Zona Central,Mediterraneo de verano templado,0
330019,-33.45528,-70.54861,649.0,PreCordillera,Csa,15.929408537597281,308.85076527821406,11.911215206871562,0.08762322015334063,Zona Central,Mediterraneo de verano caluroso,3
330020,-33.445,-70.68278,520.0,Valle,BSk,15.423329680537863,242.20728225848939,9.526969334937453,0.08105147864184009,Zona Central,Estepa fria (semiarido),3
330021,-33.37833,-70.78778,474.0,Valle,BSk,15.53603505226503,183.61938605097257,7.190598919337153,0.07174151150054764,Zona Central,Estepa fria (semiarido),3
330030,-33.65611,-71.61333,77.0,Litoral,Csb,12.525136919037275,287.8422786534926,12.77871382926959,0.11829134720700986,Zona Central,Mediterraneo de verano templado,6
330071,-33.67028,-70.84944,390.0,Valle,Csa,14.328696592483437,276.64841260506006,11.371279655422764,0.17798466593647316,Zona Central,Mediterraneo de verano caluroso,3
330075,-33.72833,-70.49667,876.0,PreCordillera,Csb,15.52740607556452,545.6389447606012,21.37463333115152,0.37093690248565964,Zona Central,Mediterraneo de verano templado,0
330076,-33.52944,-71.22917,145.0,Valle,Csa,14.032511488814333,208.8000031709671,8.68823066070938,0.3515981735159817,Zona Central,Mediterraneo de verano caluroso,6
330077,-33.35,-70.29361,2750.0,Cordillera,Csc,6.871358167392335,89.57092026303658,5.309052144726105,0.13636363636363635,Zona Central,Mediterraneo de verano frio,4
330111,-33.45806,-70.94861,1068.0,PreCordillera,Csb,14.119770040296974,365.2198784133095,15.141930366796016,0.23822562979189485,Zona Central,Mediterraneo de verano templado,0
330112,-33.61528,-70.35055,928.0,PreCordillera,Csb,13.947864169815936,407.21686765365916,17.0043083911808,0.15772179627601315,Zona Central,Mediterraneo de verano templado,0
330113,-33.70639,-71.00805,275.0,Valle,Csa,14.78592555233056,233.45208203858672,9.418735707314985,0.13910186199342825,Zona Central,Mediterraneo de verano caluroso,3
330114,-33.44222,-70.74667,490.0,Valle,BSk,15.676889376206832,220.87896965123787,8.602247975407513,0.14348302300109528,Zona Central,Estepa fria (semiarido),3
330118,-33.26805,-70.73222,512.0,Valle,BSk,15.93280395607567,150.39759034327633,5.799511329280705,0.1221248630887185,Zona Central,Estepa fria (semiarido),1
330121,-33.41111,-71.16778,203.0,Valle,Csa,14.78885746298872,265.12047702566684,10.695147100728944,0.2228506787330317,Zona Central,Mediterraneo de verano caluroso,3
330122,-33.545,-70.54833,670.0,PreCordillera,Csa,15.240451948802656,355.90623413918263,14.100628422228624,0.4722792607802875,Zona Central,Mediterraneo de verano caluroso,3
330160,-33.75444,-70.76444,460.0,Valle,Csa,14.24731654575072,261.97645145051206,10.804348223697469,0.12869660460021906,Zona Central,Mediterraneo de verano caluroso,3
330161,-33.53055,-71.50611,103.0,Litoral,Csb,12.675903613047689,278.3274926071189,12.274152217112514,0.27163198247535597,Zona Central,Mediterraneo de verano templado,6
330162,-33.16222,-70.64306,755.0,Valle,BSk,16.238401634711668,230.70754690873088,8.79274393770694,0.22031076581576026,Zona Central,Estepa fria (semiarido),3
340031,-34.96944,-71.21694,229.0,Valle,Csb,14.674205924666856,467.8236579727728,18.960028922555455,0.1380065717415115,Zona Central,Mediterraneo de verano templado,0
340045,-34.17222,-70.77611,482.0,Valle,Csa,15.081325274242367,251.44222331530165,10.025077246357627,0.1774370208105148,Zona Central,Mediterraneo de verano caluroso,3
340048,-34.215,-70.99694,316.0,Valle,Csa,13.707448034597252,418.27081096306574,17.64301287733146,0.296276013143483,Zona Central,Mediterraneo de verano caluroso,0
340066,-34.66083,-71.73528,81.0,Secano Interior,Csa,12.74999990638219,363.60076833247064,15.982451421042319,0.2891566265060241,Zona Central,Mediterraneo de verano caluroso,0
340093,-34.19833,-70.57917,1185.0,PreCordillera,Csb,13.981040311123033,393.1099007211384,16.392529082185135,0.32550335570469796,Zona Central,Mediterraneo de verano templado,0
340115,-34.39417,-72.01861,25.0,Litoral,Csb,12.869660467333757,259.3778748304133,11.341570864197998,0.23548740416210295,Zona Central,Mediterraneo de verano templado,6
350028,-35.37778,-71.60111,119.0,Valle,Csb,15.07261777917272,545.5410757128186,21.758441041843973,0.38170865279299016,Zona Central,Mediterraneo de verano templado,0
360011,-36.58583,-72.03667,152.0,Valle,Csb,13.57677984730568,701.0558595651555,29.73501318269599,0.22179627601314347,Zona Central,Mediterraneo de verano templado,0
360019,-36.78055,-73.06639,8.0,Litoral,Csb,13.093044910608482,764.7609529871114,33.11650568157842,0.2393209200438116,Zona Central,Mediterraneo de verano templado,0
360046,-36.82805,-71.86694,397.0,Valle,Csb,12.234720694225564,1050.3444666995056,47.23893235017266,0.3833515881708653,Zona Central,Mediterraneo de verano templado,2
360047,-36.07555,-71.75805,162.0,Valle,Csb,12.883869205558147,653.7222861246869,28.56694732226085,0.32926829268292684,Zona Central,Mediterraneo de verano templado,0
360097,-36.50556,-72.21944,118.0,Secano Interior,Csb,13.549931526510235,516.3926142891397,21.927563301312993,0.48700410396716826,Zona Central,Mediterraneo de verano templado,0
370033,-37.39694,-72.42389,114.0,Valle,Csb,13.84567358668767,655.1210295010526,27.473370677471117,0.23110624315443593,Zona Central,Mediterraneo de verano templado,0
370036,-37.45694,-72.275,173.0,Valle,Csb,12.962212540494912,598.7719082370653,26.076403011299703,0.4008762322015334,Zona Central,Mediterraneo de verano templado,0
380013,-38.76778,-72.63194,93.0,Valle,Csb,11.403997813501402,882.2565742143454,41.21924240049342,0.49178532311062434,Zona Sur,Mediterraneo de verano templado,2
380018,-38.455,-71.36194,912.0,PreCordillera,Csb,10.323767656348197,799.541894717801,39.34023987270202,0.5410733844468785,Zona Sur,Mediterraneo de verano templado,2
380029,-38.93444,-72.65333,98.0,Valle,Csb,11.316593651005922,1009.2070106895353,47.34372795260894,0.3592552026286966,Zona Sur,Mediterraneo de verano templado,2
380032,-38.66083,-72.60555,344.0,Valle,Csb,11.283022955370106,524.4326417124855,24.64089066728001,0.3658269441401972,Zona Sur,Mediterraneo de verano templado,5
380033,-38.83778,-72.69444,74.0,Valle,Csb,11.649999944964446,885.5747526818999,40.90414572439179,0.5640744797371303,Zona Sur,Mediterraneo de verano templado,2
380080,-38.35944,-73.48833,152.0,Litoral,Csb,11.551752463750223,1227.0476516106687,56.934936204122955,0.5438116100766703,Zona Central,Mediterraneo de verano templado,2
380082,-38.38389,-73.86917,6.0,Litoral,Csb,12.805410991302908,1069.4750024303794,46.89566887605031,0.5636986301369863,Zona Central,Mediterraneo de verano templado,2
390006,-39.65667,-73.08722,18.0,Valle,Cfb,11.263526832642032,1244.6180166370211,58.53300002548895,0.4895947426067908,Zona Sur,Oceanico templado,2
390028,-39.19,-72.11222,393.0,Valle,Cfb,11.581544247932268,1096.9789166467801,50.829491348928,0.6018619934282585,Zona Sur,Oceanico templado,2
390029,-39.63444,-72.34389,229.0,Valle,Cfb,10.576276842805463,739.6010463617697,35.944357281544484,0.6749038989566173,Zona Sur,Oceanico templado,2
390043,-39.89,-73.42611,24.0,Litoral,Cfb,12.338882807833995,2172.6894896558656,97.26043635870312,0.5690032858707558,Zona Sur,Oceanico templado,2
400013,-40.59056,-73.11222,53.0,Valle,Csb,10.219167589361964,1066.9953472247635,52.77147748585596,0.6987951807228916,Zona Sur,Mediterraneo de verano templado,2
400033,-40.58667,-73.73528,102.0,Litoral,Cfb,11.555257585197523,803.9194982360156,37.2957500070927,0.619934282584885,Zona Sur,Oceanico templado,2
400060,-40.08361,-72.65889,194.0,Valle,Cfb,10.842518209432164,1316.5976295480505,63.16883671725577,0.6304744525547445,Zona Sur,Oceanico templado,2
410005,-41.4475,-73.09583,90.0,Valle,Cfb,10.26111719524743,1209.1574488065296,59.67871549996053,0.5487404162102957,Zona Sur,Oceanico templado,2
410026,-41.86611,-73.81639,31.0,Litoral,Cfb,10.95920044124975,895.429358388433,42.72249606555319,0.6352683461117196,Zona Sur,Oceanico templado,2
410027,-41.47944,-72.96889,100.0,Litoral,Cfb,10.647152244914139,1135.3578874075465,54.988594743723596,0.6100766703176341,Zona Sur,Oceanico templado,2
410040,-41.32444,-72.97667,70.0,Litoral,Cfb,11.521851080499369,741.5536713410221,34.455849943731515,0.7447973713033954,Zona Sur,Oceanico templado,2
420015,-42.78528,-72.835,26.0,Litoral,Cfb,10.106352661845456,2167.3923881300943,107.79639771478875,0.6730558598028478,Zona Sur,Oceanico templado,2
430001,-43.13361,-73.63278,13.0,Litoral,Cfb,10.085980285044764,1413.385539353302,70.36676922388766,0.6391018619934282,Zona Sur,Oceanico templado,2
